0.019,0.008,0.021,0.007,0.013,0.004,0.003,0.053,
0.007,0.004,0.015,0.009,0.004,0.009,0.007,0.031,
0.007,0.003,0.01,0.006,0.008,0.006,0.01,0.02,
0.004,0.004,0.012,0.008,0.01,0.006,0.009,0.02,
