,ec2-ap-northeast-1,ec2-ap-northeast-2,ec2-ap-south-1,ec2-ap-southeast-1,ec2-ap-southeast-2,ec2-eu-central-1,ec2-eu-west-1,ec2-sa-east-1,ec2-us-east-1,ec2-us-west-1,ec2-us-west-2
planetlab1.cs.otago.ac.nz,273,285,246,184,57,305,303,334,231,167,195
planetlab1.cs.purdue.edu,194,225,285,271,259,149,138,169,62,89,94
planetlab1.cs.ucla.edu,137,161,262,200,188,177,162,168,87,23,49
planetlab1.cs.uml.edu,181,200,213,247,249,85,83,124,25,75,79
planetlab1.cs.unc.edu,198,198,275,255,225,123,128,134,28,91,99
planetlab1.csee.usf.edu,195,194,272,272,220,131,139,114,45,112,109
planetlab1.cti.espol.edu.ec,234,270,347,316,366,184,177,178,93,145,147
planetlab1.di.fct.unl.pt,318,326,176,382,405,50,52,258,137,201,211
planetlab1.dojima.wide.ad.jp,27,43,154,100,130,247,273,286,189,130,118
planetlab1.ecs.vuw.ac.nz,253,267,229,161,37,285,281,328,207,150,173
planetlab1.eecs.jacobs-university.de,278,308,141,360,364,25,49,212,121,177,193
planetlab1.fct.ualg.pt,340,347,181,392,385,59,62,263,150,211,224
planetlab1.ie.cuhk.edu.hk,67,86,361,56,134,208,235,338,228,158,186
planetlab1.informatik.uni-goettingen.de,257,317,123,348,382,16,33,211,100,185,174
planetlab1.montefiore.ulg.ac.be,279,290,136,339,296,20,26,210,89,158,160
planetlab1.pop-rs.rnp.br,349,348,448,410,382,291,298,24,200,251,289
planetlab1.rutgers.edu,212,208,216,274,235,123,114,152,42,103,110
planetlab1.temple.edu,191,199,251,264,225,99,100,146,30,95,98
planetlab1.tlm.unavarra.es,335,302,221,360,359,53,64,254,115,202,191
planetlab1.unl.edu,189,177,309,264,209,139,133,159,60,59,72
planetlab1.unr.edu,171,167,311,317,178,186,197,195,79,35,50
planetlab1.ustc.edu.cn,107,99,413,242,171,373,293,511,358,259,251
planetlab1.utt.fr,240,279,153,268,321,35,65,221,110,156,184
planetlab1.xeno.cl.cam.ac.uk,251,285,141,264,303,19,22,198,82,148,150
planetlab2.aston.ac.uk,266,288,145,288,319,21,24,201,87,172,156
planetlab2.aut.ac.nz,250,274,226,159,33,288,286,319,201,150,176
planetlab2.c3sl.ufpr.br,344,320,404,413,354,262,273,9,182,241,250
planetlab2.ci.pwr.wroc.pl,291,308,159,295,327,36,62,248,123,188,209
planetlab2.citadel.edu,206,241,320,274,227,137,128,147,47,97,110
planetlab2.cs.du.edu,179,155,252,240,211,145,134,176,49,63,61
planetlab2.cs.okstate.edu,168,196,256,246,200,145,153,168,49,61,74
planetlab2.cs.purdue.edu,178,221,284,261,254,133,128,169,47,80,81
planetlab2.cs.ubc.ca,114,151,285,260,216,141,143,193,81,30,26
planetlab2.cs.ucla.edu,123,158,261,182,180,167,170,166,70,17,34
planetlab2.cs.uml.edu,202,214,206,262,265,95,98,125,40,87,98
planetlab2.cs.unc.edu,183,198,262,261,235,130,140,132,34,93,108
planetlab2.cs.uoi.gr,332,339,172,389,356,76,88,291,149,217,206
planetlab2.cs.uoregon.edu,138,169,293,195,184,181,177,184,95,37,27
planetlab2.di.unito.it,305,301,156,375,341,28,52,247,116,203,195
planetlab2.dtc.umn.edu,158,188,291,252,236,116,113,154,37,63,51
planetlab2.ecs.vuw.ac.nz,264,283,230,173,46,294,292,316,216,157,189
planetlab2.esprit-tn.com,336,369,190,189,370,59,90,264,147,208,215
planetlab2.fri.uni-lj.si,300,316,129,291,353,32,60,246,126,199,197
planetlab2.inf.ethz.ch,298,313,130,303,319,39,55,231,134,186,202
planetlab2.netlab.uky.edu,188,226,240,250,212,139,128,159,50,72,96
planetlab2.pop-mg.rnp.br,322,310,403,416,345,255,259,12,153,241,250
planetlab2.pop-pa.rnp.br,275,301,377,350,312,213,234,68,131,167,217
planetlab2.rutgers.edu,216,210,219,275,243,123,112,166,39,103,107
planetlab2.s3.kth.se,298,304,159,281,357,33,51,258,115,177,196
planetlab2.temple.edu,180,209,251,260,216,97,96,151,26,90,91
planetlab2.tsuniv.edu,183,209,292,253,226,144,138,142,57,88,111
planetlab2.unineuchatel.ch,303,293,137,271,338,30,42,209,108,164,179
planetlab2.unl.edu,171,177,305,254,203,131,125,163,41,48,55
planetlab2.upm.ro,306,349,162,315,372,44,67,249,139,222,212
planetlab2.urv.cat,334,309,241,384,335,59,70,259,124,180,190
planetlab2.utdallas.edu,161,169,264,244,188,141,136,154,53,51,72
planetlab2.utt.fr,239,279,154,268,317,34,64,228,108,155,183
planetlab2.xeno.cl.cam.ac.uk,322,279,126,261,307,29,34,200,105,177,173
planetlab3.comp.nus.edu.sg,78,100,295,12,213,320,330,352,229,176,198
planetlab3.cs.uoregon.edu,142,171,292,197,188,187,179,184,103,41,34
planetlab3.inf.ethz.ch,289,312,129,332,337,37,52,228,129,194,198
planetlab3.informatik.uni-erlangen.de,287,298,122,361,365,21,39,219,108,174,181
planetlab3.mini.pw.edu.pl,292,315,156,309,358,35,61,248,121,188,212
planetlab3.wail.wisc.edu,169,198,281,253,252,130,127,156,57,75,92
planetlab4.cs.uoregon.edu,145,161,279,211,191,188,186,184,107,44,38
planetlab4.goto.info.waseda.ac.jp,13,32,140,84,116,235,241,284,187,120,123
planetlab4.mini.pw.edu.pl,315,313,142,302,377,37,65,246,126,184,216
planetlab4.wail.wisc.edu,169,180,240,263,244,125,124,158,52,75,88
planetlab5.csee.usf.edu,201,194,273,267,224,135,136,114,52,117,115
planetlabone.ccs.neu.edu,213,206,270,266,239,98,101,132,46,100,102
planetvs2.informatik.uni-stuttgart.de,285,315,123,206,321,16,41,219,121,180,186
ple2.cesnet.cz,316,328,155,319,340,29,54,238,143,207,213
plewifi.ipv6.lip6.fr,215,269,127,245,304,19,42,220,81,137,157
plgmu2.ite.gmu.edu,196,211,251,247,224,99,98,128,24,83,90
plink.cs.uwaterloo.ca,206,185,215,286,265,112,115,160,49,85,95
pln.zju.edu.cn,289,315,417,235,354,342,325,354,245,190,215
plonk.cs.uwaterloo.ca,191,186,219,254,263,108,109,158,41,80,90
pluto.cs.brown.edu,198,210,277,268,275,100,101,135,37,89,97
roam1.cs.ou.edu,182,196,274,222,203,142,140,174,48,67,79
salt.planetlab.cs.umd.edu,199,214,197,263,249,117,106,139,28,93,112
saturn.planetlab.carleton.ca,186,177,268,282,268,120,128,167,67,85,117
ttu1-1.nodes.planet-lab.org,155,197,288,251,198,142,135,155,66,59,84
